fipscode,last,party,votepct
05089,Trump,GOP,0.770758
05089,Biden,Dem,0.204052
05089,Jorgensen,Lib,0.008663
05089,Gammon,Ind,0.003599
05089,Myers,Oth,0.002666
05089,Hawkins,Grn,0.002532
05089,Collins,Ind,0.002532
05089,Carroll,ASP,0.000933
05089,Blankenship,CST,0.000933
05089,De La Fuente,Ind,0.000933
05089,Pierce,Ind,0.000933
05089,West,Ind,0.000933
05089,La Riva,PSL,0.000533
05091,Trump,GOP,0.721157
05091,Biden,Dem,0.256821
05091,Jorgensen,Lib,0.00611
05091,Hawkins,Grn,0.00248
05091,Pierce,Ind,0.00248
05091,Myers,Oth,0.002117
05091,De La Fuente,Ind,0.001754
05091,West,Ind,0.001694
05091,Collins,Ind,0.001633
05091,Blankenship,CST,0.001149
05091,La Riva,PSL,0.001149
05091,Gammon,Ind,0.001028
05091,Carroll,ASP,0.000423
05093,Trump,GOP,0.591152
05093,Biden,Dem,0.369308
05093,Jorgensen,Lib,0.009723
05093,Collins,Ind,0.006968
05093,Pierce,Ind,0.004213
05093,West,Ind,0.00397
05093,Carroll,ASP,0.003565
05093,Myers,Oth,0.002836
05093,Blankenship,CST,0.002269
05093,Hawkins,Grn,0.001945
05093,De La Fuente,Ind,0.001539
05093,Gammon,Ind,0.001458
05093,La Riva,PSL,0.001053
05095,Trump,GOP,0.548651
05095,Biden,Dem,0.407315
05095,Hawkins,Grn,0.011719
05095,Gammon,Ind,0.007102
05095,La Riva,PSL,0.006747
